x y
0.000000 2.645350
0.002626 2.644632
0.005261 2.643865
0.007905 2.643048
0.010558 2.642181
0.013221 2.641266
0.015893 2.640301
0.018574 2.639289
0.021265 2.638228
0.023964 2.637119
0.026673 2.635963
0.029392 2.634759
0.032119 2.633508
0.034856 2.632210
0.037603 2.630866
0.040359 2.629475
0.043124 2.628037
0.045899 2.626554
0.048683 2.625025
0.051476 2.623451
0.054279 2.621831
0.057092 2.620166
0.059914 2.618456
0.062746 2.616702
0.065587 2.614903
0.068438 2.613059
0.071298 2.611172
0.074168 2.609240
0.077048 2.607265
0.079937 2.605246
0.082836 2.603184
0.085745 2.601079
0.088663 2.598930
0.091591 2.596739
0.094529 2.594505
0.097477 2.592229
0.100434 2.589910
0.103402 2.587549
0.106379 2.585145
0.109366 2.582700
0.112364 2.580213
0.115371 2.577685
0.118388 2.575114
0.121415 2.572503
0.124452 2.569850
0.127499 2.567156
0.130556 2.564421
0.133624 2.561646
0.136701 2.558829
0.139789 2.555972
0.142887 2.553075
0.145995 2.550137
0.149113 2.547159
0.152242 2.544140
0.155381 2.541082
0.158530 2.537984
0.161690 2.534845
0.164860 2.531667
0.168041 2.528450
0.171232 2.525193
0.174433 2.521896
0.177645 2.518560
0.180868 2.515184
0.184101 2.511770
0.187345 2.508316
0.190599 2.504823
0.193865 2.501292
0.197141 2.497721
0.200427 2.494112
0.203725 2.490463
0.207033 2.486777
0.210353 2.483051
0.213683 2.479287
0.217024 2.475484
0.220376 2.471643
0.223739 2.467764
0.227113 2.463846
0.230499 2.459890
0.233895 2.455896
0.237303 2.451864
0.240721 2.447793
0.244151 2.443684
0.247593 2.439538
0.251045 2.435353
0.254509 2.431131
0.257985 2.426870
0.261472 2.422572
0.264970 2.418235
0.268480 2.413861
0.272001 2.409449
0.275535 2.405000
0.279079 2.400512
0.282636 2.395987
0.286204 2.391425
0.289784 2.386824
0.293376 2.382186
0.296979 2.377510
0.300595 2.372797
0.304222 2.368046
0.307862 2.363257
0.311514 2.358431
0.315177 2.353567
0.318853 2.348666
0.322541 2.343727
0.326241 2.338750
0.329954 2.333736
0.333679 2.328685
0.337416 2.323595
0.341166 2.318469
0.344928 2.313304
0.348703 2.308102
0.352490 2.302863
0.356290 2.297585
0.360102 2.292271
0.363928 2.286918
0.367766 2.281528
0.371617 2.276100
0.375480 2.270635
0.379357 2.265132
0.383247 2.259591
0.387149 2.254012
0.391065 2.248395
0.394994 2.242741
0.398936 2.237049
0.402892 2.231319
0.406861 2.225551
0.410843 2.219745
0.414838 2.213901
0.418847 2.208019
0.422870 2.202099
0.426906 2.196141
0.430955 2.190145
0.435019 2.184110
0.439096 2.178038
0.443187 2.171927
0.447292 2.165778
0.451411 2.159590
0.455544 2.153364
0.459691 2.147100
0.463852 2.140797
0.468027 2.134455
0.472216 2.128075
0.476420 2.121656
0.480638 2.115198
0.484871 2.108702
0.489118 2.102167
0.493380 2.095592
0.497656 2.088979
0.501947 2.082327
0.506252 2.075635
0.510573 2.068904
0.514908 2.062134
