x y
0.000000 6.543756
0.006758 6.576949
0.013644 6.609982
0.020658 6.642855
0.027799 6.675568
0.035069 6.708121
0.042466 6.740513
0.049991 6.772745
0.057644 6.804818
0.065424 6.836730
0.073333 6.868481
0.081369 6.900073
0.089533 6.931505
0.097824 6.962776
0.106244 6.993887
0.114791 7.024838
0.123466 7.055629
0.132269 7.086260
0.141200 7.116730
0.150259 7.147041
0.159445 7.177191
0.168759 7.207181
0.178201 7.237011
0.187771 7.266681
0.197468 7.296190
0.207294 7.325540
0.217247 7.354729
0.227328 7.383758
0.237536 7.412627
0.247873 7.441336
0.258337 7.469884
0.268929 7.498273
0.279649 7.526501
0.290497 7.554569
0.301472 7.582477
0.312576 7.610225
0.323807 7.637812
0.335166 7.665240
0.346652 7.692507
0.358267 7.719614
0.370009 7.746561
0.381879 7.773348
0.393877 7.799975
0.406003 7.826442
0.418256 7.852748
0.430637 7.878894
0.443146 7.904880
0.455783 7.930706
0.468548 7.956372
0.481440 7.981877
0.494461 8.007223
0.507609 8.032408
0.520885 8.057433
0.534288 8.082298
0.547820 8.107003
0.561479 8.131547
0.575266 8.155932
0.589181 8.180156
0.603224 8.204220
0.617394 8.228124
0.631692 8.251868
0.646118 8.275452
0.660672 8.298875
0.675354 8.322138
0.690163 8.345242
0.705100 8.368185
0.720165 8.390967
0.735358 8.413590
0.750679 8.436053
0.766127 8.458355
0.781704 8.480497
0.797408 8.502479
0.813239 8.524301
0.829199 8.545963
0.845286 8.567464
0.861502 8.588806
0.877845 8.609987
0.894315 8.631008
0.910914 8.651869
0.927640 8.672570
0.944495 8.693110
0.961477 8.713491
0.978586 8.733711
0.995824 8.753771
1.013189 8.773671
1.030682 8.793411
1.048303 8.812990
1.066052 8.832410
1.083929 8.851669
1.101933 8.870768
1.120065 8.889707
1.138325 8.908486
1.156713 8.927105
1.175229 8.945563
1.193872 8.963862
1.212643 8.982000
1.231542 8.999978
1.250569 9.017796
1.269723 9.035453
1.289006 9.052951
1.308416 9.070288
1.327954 9.087465
1.347620 9.104482
1.367413 9.121339
1.387335 9.138036
1.407384 9.154573
1.427561 9.170949
1.447865 9.187165
1.468298 9.203221
1.488858 9.219117
1.509546 9.234853
1.530362 9.250429
1.551306 9.265844
1.572378 9.281099
1.593577 9.296195
1.614904 9.311130
1.636359 9.325904
1.657942 9.340519
1.679652 9.354974
1.701490 9.369268
1.723457 9.383402
1.745550 9.397376
1.767772 9.411190
1.790122 9.424844
1.812599 9.438337
1.835204 9.451670
1.857937 9.464844
1.880798 9.477857
1.903786 9.490710
1.926902 9.503402
1.950146 9.515935
1.973518 9.528307
1.997018 9.540519
