x y
0.000000 0.000000
0.010666 0.000025
0.021331 0.000099
0.031997 0.000222
0.042663 0.000395
0.053329 0.000617
0.063994 0.000889
0.074660 0.001210
0.085326 0.001581
0.095991 0.002000
0.106657 0.002470
0.117323 0.002988
0.127989 0.003556
0.138654 0.004174
0.149320 0.004840
0.159986 0.005556
0.170651 0.006322
0.181317 0.007136
0.191983 0.008000
0.202648 0.008914
0.213314 0.009876
0.223980 0.010888
0.234646 0.011949
0.245311 0.013060
0.255977 0.014220
0.266643 0.015429
0.277308 0.016687
0.287974 0.017995
0.298640 0.019351
0.309306 0.020757
0.319971 0.022212
0.330637 0.023717
0.341303 0.025270
0.351968 0.026873
0.362634 0.028525
0.373300 0.030225
0.383966 0.031975
0.394631 0.033774
0.405297 0.035623
0.415963 0.037520
0.426628 0.039466
0.437294 0.041461
0.447960 0.043505
0.458626 0.045598
0.469291 0.047741
0.479957 0.049932
0.490623 0.052171
0.501288 0.054460
0.511954 0.056798
0.522620 0.059184
0.533286 0.061620
0.543951 0.064104
0.554617 0.066637
0.565283 0.069218
0.575948 0.071849
0.586614 0.074528
0.597280 0.077255
0.607945 0.080032
0.618611 0.082857
0.629277 0.085730
0.639943 0.088652
0.650608 0.091623
0.661274 0.094642
0.671940 0.097709
0.682605 0.100825
0.693271 0.103990
0.703937 0.107202
0.714603 0.110463
0.725268 0.113773
0.735934 0.117130
0.746600 0.120536
0.757265 0.123990
0.767931 0.127493
0.778597 0.131043
0.789263 0.134641
0.799928 0.138288
0.810594 0.141983
0.821260 0.145725
0.831925 0.149516
0.842591 0.153354
0.853257 0.157241
0.863923 0.161175
0.874588 0.165157
0.885254 0.169187
0.895920 0.173264
0.906585 0.177389
0.917251 0.181562
0.927917 0.185782
0.938582 0.190050
0.949248 0.194366
0.959914 0.198729
0.970580 0.203139
0.981245 0.207597
0.991911 0.212102
1.002577 0.216655
1.013242 0.221254
1.023908 0.225901
1.034574 0.230595
1.045240 0.235337
1.055905 0.240125
1.066571 0.244960
1.077237 0.249843
1.087902 0.254772
1.098568 0.259748
1.109234 0.264771
1.119900 0.269841
1.130565 0.274957
1.141231 0.280120
1.151897 0.285330
1.162562 0.290586
1.173228 0.295889
1.183894 0.301238
1.194560 0.306634
1.205225 0.312076
1.215891 0.317565
1.226557 0.323099
1.237222 0.328680
1.247888 0.334307
1.258554 0.339980
1.269220 0.345700
1.279885 0.351465
1.290551 0.357276
1.301217 0.363133
1.311882 0.369036
1.322548 0.374984
1.333214 0.380978
1.343879 0.387018
1.354545 0.393104
1.365211 0.399235
1.375877 0.405411
